10000 REM MAP WIDTH AND HEIGHT
10001 DATA 64,64
10002 REM MAP TILE WIDTH AND HEIGHT
10003 DATA 16,16
10003 REM MAP DATA IN 8 x 2 BYTE SEGMENTS - VERA TILE_BASE DATA
10005 DATA 0,0,0,1,3,255,3,255,3,255,3,255,3,255,3,255
10006 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10007 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10008 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10009 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10010 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10011 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10012 DATA 3,255,3,255,3,255,3,255,3,255,3,255,4,1,4,0
10013 DATA 0,16,0,17,3,255,3,255,3,255,3,255,3,255,3,255
10014 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10015 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10016 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10017 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10018 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10019 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10020 DATA 3,255,3,255,3,255,3,255,3,255,3,255,4,17,4,16
10021 DATA 0,32,0,33,3,255,3,255,3,255,3,255,3,255,3,255
10022 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10023 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10024 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10025 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10026 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10027 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10028 DATA 3,255,3,255,3,255,3,255,3,255,3,255,4,33,4,32
10029 DATA 0,48,0,49,0,0,0,1,3,255,3,255,3,255,3,255
10030 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10031 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10032 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10033 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10034 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10035 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10036 DATA 3,255,3,255,3,255,3,255,4,1,4,0,4,49,4,48
10037 DATA 0,64,0,65,0,16,0,17,3,255,3,255,3,255,3,255
10038 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10039 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10040 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10041 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10042 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10043 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10044 DATA 3,255,3,255,3,255,3,255,4,17,4,16,4,65,4,64
10045 DATA 0,50,0,51,0,32,0,33,3,255,3,255,3,255,3,255
10046 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10047 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10048 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10049 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10050 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10051 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10052 DATA 3,255,3,255,3,255,3,255,4,33,4,32,0,50,0,51
10053 DATA 0,66,0,67,4,66,4,50,4,34,3,255,3,255,3,255
10054 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10055 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10056 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10057 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10058 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10059 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10060 DATA 3,255,3,255,4,1,4,0,4,49,4,48,0,66,0,67
10061 DATA 0,50,0,51,4,67,4,51,4,35,3,255,3,255,3,255
10062 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10063 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10064 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10065 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10066 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10067 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10068 DATA 3,255,3,255,4,17,4,16,4,65,4,64,0,50,0,51
10069 DATA 0,66,0,67,4,66,4,50,4,34,3,255,3,255,3,255
10070 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10071 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10072 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10073 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10074 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10075 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10076 DATA 3,255,3,255,4,33,4,32,0,50,0,51,0,66,0,67
10077 DATA 0,50,0,51,4,67,4,51,4,35,3,255,3,255,3,255
10078 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10079 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10080 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10081 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10082 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10083 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10084 DATA 4,1,4,0,4,49,4,48,0,66,0,67,0,50,0,51
10085 DATA 0,66,0,67,8,32,8,33,3,255,3,255,3,255,3,255
10086 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10087 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10088 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10089 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10090 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10091 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10092 DATA 4,17,4,16,4,65,4,64,0,50,0,51,0,66,0,67
10093 DATA 0,50,0,51,8,16,8,17,3,255,3,255,3,255,3,255
10094 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10095 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10096 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10097 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10098 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10099 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10100 DATA 4,33,4,32,0,50,0,51,0,66,0,67,0,50,0,51
10101 DATA 0,66,0,67,8,0,8,1,3,255,3,255,3,255,3,255
10102 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10103 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10104 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10105 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10106 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,3,255
10107 DATA 3,255,3,255,3,255,3,255,3,255,3,255,3,255,8,26
10108 DATA 8,42,8,58,0,66,0,67,0,50,0,51,0,66,0,67
